sepal.length,sepal.width,petal.length,petal.width,class,LC#1
0.44444444444444453,0.5,0.6440677966101694,0.7083333333333334,Versicolor,1.0566326291307826
0.5555555555555555,0.20833333333333331,0.6610169491525424,0.5833333333333334,Versicolor,1.0692777305508732
0.4722222222222222,0.2916666666666667,0.6949152542372881,0.625,Versicolor,1.1395369125959367
0.611111111111111,0.5,0.6949152542372881,0.7916666666666666,Virginica,1.1334199693101625
0.5555555555555555,0.2916666666666667,0.6610169491525424,0.7083333333333334,Virginica,1.1260865889953404
0.5277777777777778,0.3333333333333332,0.6440677966101694,0.7083333333333334,Virginica,1.0952976071338627
0.4999999999999999,0.41666666666666663,0.6610169491525424,0.7083333333333334,Virginica,1.0948912807753786
0.8055555555555556,0.41666666666666663,0.8135593220338982,0.625,Virginica,1.148568604735988
0.5555555555555555,0.3333333333333332,0.6949152542372881,0.5833333333333334,Virginica,1.0671484487464158
0.4722222222222222,0.41666666666666663,0.6440677966101694,0.7083333333333334,Virginica,1.0803582675676264
