sepal.length,sepal.width,petal.length,petal.width,class
0.0,0.36363636363636354,0.016949152542372895,0.0,Setosa__HB0__bottom
0.3333333333333333,0.9090909090909091,0.15254237288135591,0.20833333333333334,Setosa__HB0__top
0.0,0.36363636363636354,0.016949152542372895,0.0,Setosa__HB1__bottom
0.08333333333333327,0.45454545454545453,0.06779661016949151,0.04166666666666667,Setosa__HB1__top
0.13888888888888887,0.36363636363636354,0.06779661016949151,0.0,Setosa__HB2__bottom
0.1666666666666668,0.6363636363636362,0.15254237288135591,0.04166666666666667,Setosa__HB2__top
0.1666666666666668,0.36363636363636354,0.06779661016949151,0.0,Setosa__HB3__bottom
0.19444444444444448,0.6363636363636362,0.1016949152542373,0.20833333333333334,Setosa__HB3__top
0.22222222222222213,0.5909090909090908,0.0847457627118644,0.0,Setosa__HB4__bottom
0.25000000000000006,0.8636363636363633,0.15254237288135591,0.12500000000000003,Setosa__HB4__top
0.27777777777777773,0.5454545454545453,0.06779661016949151,0.04166666666666667,Setosa__HB5__bottom
0.3333333333333333,0.9090909090909091,0.11864406779661016,0.12500000000000003,Setosa__HB5__top
0.22222222222222213,0.0,0.3389830508474576,0.4166666666666667,Versicolor__HB6__bottom
0.7499999999999999,0.5454545454545453,0.6949152542372881,0.625,Versicolor__HB6__top
0.22222222222222213,0.13636363636363627,0.3389830508474576,0.4166666666666667,Versicolor__HB7__bottom
0.361111111111111,0.318181818181818,0.576271186440678,0.5,Versicolor__HB7__top
0.361111111111111,0.18181818181818177,0.4406779661016949,0.4583333333333333,Versicolor__HB8__bottom
0.41666666666666663,0.36363636363636354,0.5423728813559322,0.5,Versicolor__HB8__top
0.41666666666666663,0.18181818181818177,0.4915254237288135,0.4583333333333333,Versicolor__HB9__bottom
0.4722222222222222,0.5454545454545453,0.6949152542372881,0.625,Versicolor__HB9__top
0.4722222222222222,0.0,0.5084745762711864,0.5,Versicolor__HB10__bottom
0.5277777777777778,0.5454545454545453,0.6949152542372881,0.625,Versicolor__HB10__top
0.5277777777777778,0.0,0.559322033898305,0.5,Versicolor__HB11__bottom
0.7499999999999999,0.4999999999999998,0.6271186440677966,0.625,Versicolor__HB11__top
0.1666666666666668,0.13636363636363627,0.5932203389830508,0.5416666666666666,Virginica__HB12__bottom
0.9444444444444444,0.6363636363636362,0.9661016949152542,1.0,Virginica__HB12__top
0.1666666666666668,0.13636363636363627,0.5932203389830508,0.5416666666666666,Virginica__HB13__bottom
0.4999999999999999,0.36363636363636354,0.7796610169491525,0.75,Virginica__HB13__top
0.5555555555555555,0.13636363636363627,0.6779661016949152,0.7083333333333334,Virginica__HB14__bottom
0.611111111111111,0.36363636363636354,0.7796610169491525,0.7916666666666666,Virginica__HB14__top
0.611111111111111,0.13636363636363627,0.711864406779661,0.7083333333333334,Virginica__HB15__bottom
0.6666666666666666,0.4999999999999998,0.8135593220338982,1.0,Virginica__HB15__top
0.6666666666666666,0.13636363636363627,0.7796610169491525,0.625,Virginica__HB16__bottom
0.8055555555555556,0.6363636363636362,0.8644067796610169,1.0,Virginica__HB16__top
0.8055555555555556,0.27272727272727254,0.8135593220338982,0.625,Virginica__HB17__bottom
0.9444444444444444,0.6363636363636362,0.9661016949152542,1.0,Virginica__HB17__top
